qid	uuid	is_answear
2263	1979	0.0
5795	14000	0.0
559	6468	0.0
367	9854	0.0
4975	21390	0.0
2306	18425	0.0
4311	20803	0.0
89	17139	0.0
550	620	0.0
293	143	0.0
1359	9821	0.0
69	2667	0.0
3849	8412	1.0
516	1080	0.0
3867	7813	0.0
819	5018	0.0
779	636	0.0
2248	18217	0.0
2348	9669	1.0
1206	5338	0.0
4629	8253	1.0
3091	2377	1.0
46	24429	0.0
1558	6956	1.0
3020	425	0.0
547	8278	1.0
1760	24	0.0
1031	1271	0.0
2539	7315	0.0
171	22031	0.0
571	9984	0.0
4161	280	0.0
345	10248	0.0
2927	4106	0.0
4411	16025	0.0
5787	14432	0.0
208	13602	0.0
2553	1276	0.0
571	4958	0.0
123	6430	0.0
855	5176	0.0
2169	14150	0.0
74	6254	0.0
3361	657	0.0
291	175	0.0
1305	16990	0.0
929	1883	0.0
880	11277	0.0
621	1496	0.0
263	25	0.0
1004	11602	0.0
388	8707	0.0
7071	4572	1.0
1075	1732	0.0
2867	17233	0.0
4783	4434	0.0
7250	22487	0.0
831	2667	0.0
2580	17133	0.0
1506	9363	1.0
184	6075	0.0
47	3972	0.0
80	9156	0.0
43	8513	0.0
437	21158	0.0
858	17329	0.0
2619	4578	0.0
383	5098	0.0
1155	5969	0.0
4218	13028	0.0
1769	855	0.0
82	8044	1.0
5935	18626	1.0
388	7162	0.0
1341	4762	0.0
129	9912	0.0
2486	1134	0.0
4597	17332	0.0
2593	508	0.0
2069	3624	1.0
1579	2234	0.0
1242	2469	1.0
1634	6683	0.0
3237	3911	1.0
3374	9754	0.0
162	10168	0.0
2560	3718	0.0
779	46	0.0
791	19338	0.0
1316	6043	0.0
2044	6223	0.0
853	9136	1.0
2951	3570	0.0
164	5978	0.0
4887	2595	0.0
1316	3658	0.0
140	2172	0.0
3400	2580	0.0
3400	3690	0.0
689	12065	0.0
1163	1663	0.0
840	3929	0.0
875	3014	0.0
831	2360	0.0
51	7633	0.0
1993	3451	0.0
140	4760	0.0
46	18590	0.0
1677	5384	0.0
80	5979	0.0
701	12217	0.0
473	26246	0.0
542	7148	0.0
3424	12500	0.0
4983	11175	0.0
3013	9795	0.0
298	1441	0.0
1931	2811	0.0
3491	4350	0.0
2960	19294	0.0
307	5530	0.0
5459	5160	0.0
389	1476	0.0
365	4326	0.0
880	9710	0.0
1323	10835	0.0
1219	11962	0.0
3461	6159	0.0
1434	8797	0.0
301	7164	0.0
262	9874	0.0
35	6565	0.0
160	4075	0.0
2589	5086	0.0
27	6203	1.0
3007	1284	1.0
351	3785	0.0
3173	4895	0.0
528	5551	0.0
403	8602	0.0
2531	3309	0.0
6556	7261	0.0
633	4941	0.0
1437	6499	0.0
8	9222	0.0
2269	9602	0.0
397	1686	0.0
142	87	0.0
3703	1440	0.0
615	1719	0.0
1382	4627	0.0
955	8229	0.0
16	14975	0.0
759	9716	0.0
1737	10595	0.0
1196	4369	0.0
1161	12152	0.0
3702	6442	0.0
3362	5909	0.0
563	14945	0.0
1054	11110	0.0
2413	7778	1.0
2593	7923	0.0
1944	6827	1.0
2315	8838	0.0
81	9680	0.0
6303	6889	0.0
5	1811	0.0
671	5895	0.0
52	3380	0.0
1496	1495	0.0
329	3417	0.0
5688	22846	0.0
209	26479	0.0
2348	20759	0.0
2597	13107	0.0
2	1370	0.0
1564	8536	1.0
51	2488	0.0
1516	8145	1.0
519	8900	0.0
3524	12570	0.0
26	1106	0.0
803	22621	0.0
485	1809	0.0
831	784	0.0
1037	396	0.0
944	5212	0.0
6570	4471	1.0
140	6345	0.0
142	2973	0.0
286	3314	0.0
3400	15038	0.0
3543	2622	0.0
46	22496	0.0
3732	1999	1.0
1310	3019	1.0
30	3166	0.0
1205	32	0.0
1357	6710	0.0
3052	21256	0.0
4513	8948	0.0
1497	1830	0.0
2934	10467	0.0
665	3998	1.0
593	10774	0.0
1654	10743	0.0
1260	5136	0.0
1549	21102	0.0
2040	2688	0.0
106	13155	0.0
4496	8146	0.0
252	16516	0.0
6336	10758	0.0
1721	14794	0.0
1839	2576	0.0
4056	2352	0.0
3514	1686	0.0
932	10018	0.0
3457	9017	0.0
308	22239	0.0
3353	1006	0.0
1745	13075	0.0
3196	16008	0.0
1841	8273	0.0
6638	1210	1.0
4783	12848	0.0
865	19065	0.0
102	18309	0.0
902	10562	0.0
665	8414	0.0
2002	21037	0.0
5685	8128	1.0
853	22647	0.0
375	3284	0.0
18	6742	0.0
47	5926	0.0
18	3539	0.0
584	4652	0.0
2371	2928	0.0
1263	246	0.0
411	5938	0.0
1963	8730	0.0
924	13685	0.0
2979	14711	0.0
408	5388	0.0
3220	15639	0.0
3908	1151	1.0
316	11345	0.0
781	13429	0.0
735	8405	0.0
4531	10670	0.0
944	4430	0.0
4838	10129	0.0
989	12441	0.0
3117	12472	0.0
2879	5926	0.0
5548	10009	1.0
3933	3562	0.0
2099	11941	0.0
49	3883	0.0
2756	103	0.0
162	6218	0.0
3132	72	0.0
2386	5444	0.0
406	16772	0.0
1010	1499	0.0
108	14059	0.0
1681	4113	0.0
1001	7351	1.0
3259	7273	0.0
412	1086	1.0
4391	1129	1.0
3611	3903	0.0
562	17894	0.0
661	2711	0.0
673	12166	0.0
3744	25861	0.0
5460	8945	1.0
1280	2931	0.0
4453	7174	0.0
1258	9333	0.0
3094	3471	0.0
625	3076	0.0
3908	1248	0.0
2220	3259	1.0
35	6658	0.0
540	21277	1.0
2223	1533	0.0
145	7231	0.0
1788	10615	1.0
2044	183	0.0
2334	1005	0.0
646	3134	0.0
1614	2475	0.0
12	13160	1.0
5591	5108	0.0
1156	10072	0.0
827	15393	0.5
558	3100	0.0
4169	677	1.0
5	5232	0.0
1837	11760	0.0
87	7104	1.0
41	2821	0.0
555	17166	0.0
35	220	0.0
6625	6772	0.0
18	1030	0.0
447	10516	0.0
1847	412	0.0
658	10219	0.0
1221	9598	0.0
3445	3516	0.0
769	7772	0.0
1236	1087	1.0
1979	13095	0.0
1992	6517	0.0
1092	1081	0.0
1223	433	0.0
5517	23999	0.0
1035	1965	0.0
4067	13357	1.0
433	6439	0.0
366	12634	0.0
3585	10919	0.0
724	934	0.0
3031	6114	0.0
822	5406	0.0
6589	7380	0.0
422	9683	0.0
293	2175	0.0
661	4592	0.0
140	1097	0.0
214	14446	0.0
3010	15313	0.0
2286	1392	0.0
1932	6523	0.0
4402	5062	0.0
249	6804	0.0
1637	393	0.0
2210	24071	0.0
2843	13271	0.0
2241	6494	0.0
666	1105	0.0
214	736	0.0
6506	1892	0.0
2418	4717	0.0
74	204	0.0
747	12264	0.0
2207	5544	0.0
4562	8819	0.0
2834	8799	0.0
3214	11253	0.0
4084	2545	0.0
6203	3177	1.0
85	1133	0.0
332	10581	0.0
409	7	0.0
1375	8352	0.0
4437	9559	0.0
837	6558	0.0
918	9470	0.0
468	8930	0.0
3128	7797	0.0
2416	2142	0.0
2286	8901	0.0
580	6473	0.0
2025	6915	0.0
81	24072	0.0
981	2017	0.0
2	788	0.0
4671	2545	0.0
4912	7817	0.0
563	15029	0.0
69	10731	0.0
2294	2356	0.0
44	9488	0.0
2512	2541	0.0
1812	1665	0.0
1281	7570	0.0
3400	9680	0.0
81	4899	0.0
701	12749	0.0
2084	2246	0.0
2855	3308	0.0
642	3699	0.0
3750	794	0.0
215	7094	0.0
245	7797	0.0
1579	10248	0.0
3231	4003	0.0
497	1848	0.0
177	14833	0.0
5420	6337	0.0
2	7930	0.0
645	8978	0.0
1857	14744	0.0
7050	4378	1.0
2328	1323	1.0
828	2490	0.0
33	16576	0.0
1196	7976	0.0
1032	9141	0.0
4565	2815	0.0
3306	6398	0.0
699	803	0.0
351	9561	0.0
3437	11413	0.0
969	9661	0.0
1767	5912	0.0
5198	259	0.0
434	11167	0.0
2449	4123	0.0
1692	4855	1.0
430	6730	1.0
387	22142	0.0
119	13224	0.0
416	1345	0.0
398	5315	1.0
684	9653	0.0
87	2184	0.0
460	38	0.0
378	18289	0.0
6876	5785	0.0
488	2107	0.0
4430	5960	0.0
60	3138	0.0
911	451	0.0
520	31	0.0
129	4135	1.0
4756	5112	0.0
624	10452	0.0
4829	13073	0.0
535	25818	0.0
90	1995	0.0
253	6193	0.0
63	1926	0.0
693	5495	0.0
1494	2570	1.0
1988	17499	0.0
148	2279	0.0
301	5836	1.0
5950	16774	0.0
90	8297	0.0
1282	6488	0.0
2733	4891	0.0
5	9204	0.0
2510	2827	0.0
909	4201	1.0
5206	7076	0.0
159	9988	0.0
1065	2614	1.0
459	15775	0.0
858	5267	0.0
707	3956	0.0
570	3027	0.0
1172	304	0.0
2720	9626	0.0
1993	2159	0.0
1802	14547	0.0
1383	14024	0.0
2845	5995	0.0
4088	8602	0.0
725	5331	0.0
559	1723	0.0
1336	5675	0.0
564	17501	0.0
139	2954	0.0
932	15391	0.0
385	17382	0.0
887	1937	0.0
43	12783	0.0
2179	15222	0.0
737	324	0.0
1695	2803	0.0
1665	7412	0.0
1808	10383	0.0
4791	6304	1.0
1447	15434	0.0
787	6424	0.0
3666	4495	1.0
499	1373	0.0
26	11319	0.0
3290	8565	0.0
5038	12362	0.0
1032	24153	0.0
438	6391	0.0
988	3897	0.0
45	3948	0.5
82	1832	0.0
4737	5745	0.0
50	3617	0.0
154	11587	0.0
175	1247	0.0
1084	56	1.0
250	2835	0.0
1614	2108	0.0
249	6991	0.0
148	6781	0.0
917	238	0.0
2719	3538	1.0
293	10168	0.0
694	5465	1.0
724	20157	0.0
561	7541	0.0
406	9669	1.0
1390	13248	0.0
545	7053	0.0
2691	10252	0.0
1501	3050	0.0
4690	11149	1.0
2145	5910	0.0
61	9173	0.0
6607	8187	0.0
7278	3681	0.0
910	135	0.0
108	16117	0.0
6612	14044	0.0
1302	9545	0.0
46	13841	0.0
3949	4767	1.0
5146	7326	0.0
2558	8740	0.0
2806	210	0.0
4774	3166	0.0
228	986	0.0
386	3937	0.0
2571	8355	0.0
1121	17466	1.0
672	20691	0.0
2224	11730	0.0
6425	6024	1.0
242	4014	0.0
1941	11194	0.0
148	474	0.0
1351	4604	0.0
1145	1962	0.0
321	623	0.0
725	15393	0.0
2254	13842	0.0
2059	13884	0.0
1048	5637	0.0
5172	10607	0.0
1963	4329	0.0
1696	20480	0.0
473	5342	0.0
165	170	0.0
18	25337	0.0
326	982	0.0
8	9389	0.0
1029	13382	0.0
1008	12765	0.0
1627	778	1.0
35	10746	0.0
5032	5398	0.0
10	259	0.0
5129	273	0.0
5876	14176	0.0
689	2182	0.0
1196	10782	0.0
55	15467	0.0
1075	7606	1.0
2213	5152	0.0
567	2254	0.0
5638	11341	0.0
242	12684	0.0
4490	11778	0.0
5779	11196	0.0
337	3368	1.0
1693	4430	0.0
701	6581	0.0
80	1993	0.0
549	7769	0.0
295	1029	0.0
1973	5762	0.0
286	707	0.0
411	3530	0.0
4399	1777	0.0
13	472	0.0
850	1719	0.0
408	4957	0.0
1552	7862	0.0
421	12171	0.0
286	9836	1.0
1448	3854	0.0
3189	10092	0.0
872	8544	0.0
4401	8707	0.0
3245	9200	0.0
108	8521	0.0
1958	4880	0.0
830	98	0.0
1079	1363	0.0
2283	9777	0.0
7037	6333	1.0
560	170	0.0
790	3293	0.0
2762	20311	0.0
2126	595	0.0
1568	4878	1.0
215	9508	0.0
454	8790	0.0
1492	2084	0.0
2702	2390	0.0
3784	9530	0.0
4748	16497	1.0
946	233	0.0
143	12970	0.0
5349	12341	1.0
2920	19103	0.0
1196	3609	0.0
1038	7730	0.0
173	2102	0.0
3158	1062	1.0
4397	6099	0.0
2252	4472	0.0
382	579	1.0
861	3024	0.0
554	5396	0.0
2283	18282	1.0
88	11947	0.0
153	15458	0.0
2762	20510	0.0
64	4883	0.0
951	20035	0.0
985	5011	0.0
883	5129	0.0
1001	1020	0.0
667	3371	1.0
984	3693	0.0
293	5554	0.0
1082	3080	0.0
5001	16326	0.0
316	8376	0.0
176	2184	0.0
1137	8624	0.0
175	5700	0.0
6429	6441	0.0
2784	7255	0.0
2867	17348	0.0
1321	6265	0.0
844	22011	0.0
181	18284	0.0
2348	10029	0.0
5692	1405	0.0
1056	3907	0.0
1865	493	0.5
24	1040	0.0
563	3681	0.0
1595	6680	0.0
7612	16792	1.0
262	5166	0.0
1467	2264	0.0
1741	8044	0.0
1441	13532	0.0
335	7153	0.0
214	2085	0.0
375	2667	0.0
6285	434	0.0
4125	20094	0.0
208	23503	0.0
1084	25284	0.0
2814	1963	0.0
819	16214	0.0
2703	4415	1.0
4995	10500	0.0
35	7170	0.0
6031	1804	0.0
350	13720	0.0
2138	2315	0.0
937	5891	0.0
1446	10646	0.0
795	9755	0.0
247	6099	0.0
973	3243	0.0
574	322	0.0
648	3066	0.0
968	13661	0.0
2120	10621	0.0
4242	2643	0.0
4534	26186	1.0
712	1639	0.0
2490	5066	0.0
4872	3662	0.0
1765	6523	0.0
1535	20215	0.0
5047	9064	1.0
579	1684	0.0
2679	6019	0.0
293	444	0.0
679	18808	0.0
6918	7545	0.0
191	1161	0.0
1272	4065	0.0
4864	10716	0.0
4399	1646	0.0
561	7314	0.0
2151	6140	0.0
274	17571	0.0
3728	4508	0.0
999	1783	0.0
46	13976	0.0
724	2749	0.0
3541	546	0.0
293	16091	0.0
1090	8821	1.0
5374	11994	0.0
4151	2598	1.0
80	313	0.0
5196	3201	0.0
123	313	0.0
3093	2417	0.0
1290	4266	0.0
82	13577	0.0
227	2262	0.0
2094	1054	0.0
6022	12504	0.0
291	10748	0.0
201	21492	0.0
1983	8747	0.0
16	2611	0.0
6089	18374	0.0
4030	18785	0.0
897	8236	0.0
951	3192	0.0
1517	2326	1.0
3951	8694	0.0
532	5365	0.0
1629	2450	0.0
2817	7790	0.0
4238	788	0.0
4038	6864	1.0
89	7968	0.0
250	12371	0.0
366	12226	0.0
175	2400	0.0
4960	1216	0.0
286	7660	0.0
4979	10355	0.0
1361	15625	0.0
1291	1083	1.0
175	9042	0.0
3920	11280	0.0
1203	16654	0.0
2641	598	1.0
2231	4817	0.0
920	3665	0.0
129	6274	0.0
5491	5006	0.0
1758	4684	1.0
2074	15685	0.0
127	2145	0.0
951	18465	0.0
1551	6029	0.0
1291	4889	0.0
673	1982	1.0
3866	416	0.0
70	584	0.0
1344	5698	0.0
409	3003	0.0
524	4964	0.0
4237	749	0.0
6	9882	0.0
787	2886	0.0
1370	5261	0.0
795	15854	0.0
2085	854	0.0
6168	1153	0.0
712	1114	0.0
1013	12414	0.0
488	3502	0.0
4769	2875	0.0
257	3224	0.0
252	22394	0.0
4567	6613	0.0
2439	9984	0.0
6832	12468	0.0
864	4493	0.0
182	1254	0.0
296	17645	0.0
3305	5306	0.0
61	9363	0.0
5035	2043	0.0
100	5336	0.0
1225	139	1.0
992	17639	0.0
2182	23461	1.0
507	5770	0.0
520	15535	0.0
144	198	0.0
734	2723	0.0
4908	10278	0.0
7067	2342	1.0
827	17412	0.0
157	428	0.0
2619	4351	0.0
388	23827	0.0
2939	9235	1.0
5	4660	0.0
4829	3128	0.0
140	6070	0.0
4294	5112	1.0
438	1776	0.0
1879	2083	1.0
808	14264	0.0
4399	416	0.0
1579	1684	1.0
2005	7449	1.0
2863	1049	0.0
1446	547	0.0
689	2400	0.0
3345	7195	0.0
3645	9065	0.0
921	10665	0.0
824	17052	1.0
87	2806	0.0
1155	7053	0.0
3533	683	0.0
165	2435	0.0
4768	11826	0.0
520	4011	1.0
1676	587	1.0
457	17570	0.0
294	2623	0.0
1697	11639	0.0
1362	2475	0.0
85	16246	0.0
2087	8849	0.0
250	2847	0.0
3270	8491	0.0
2287	407	0.0
49	2662	0.0
1980	8286	1.0
2515	5039	1.0
372	4426	0.0
479	4358	0.0
165	6288	1.0
